1,???????????,22.53882162,113.9468788
2,??????,22.53706362,113.9462768
3,?????·,22.53351862,113.9451188
4,???????,22.53475197,113.9367045
5,??????л???,22.53647897,113.9389185
6,??????,22.54099262,113.9441428
7,???????,22.54218262,113.9460398
8,????????????,22.54541962,113.9448773
9,???·,22.54617234,113.9539137
10,????????????,22.54593497,113.940588
11,?????,22.55009697,113.940535
12,???????????,22.55657232,113.9405369
13,?????????????,22.56003032,113.9424749
14,???·??,22.55872696,113.9455802
15,?????,22.56007596,113.9467762
16,????УС???,22.56306914,113.9495435
17,???,22.57698142,113.9494387
18,??????,22.56997058,113.955055
19,?????,22.57185158,113.963024
20,??????,22.56866102,113.96827
21,?????,22.56084125,113.9755265
22,????嶫,22.56164725,113.9797115
23,?????,22.55573636,114.0085869
24,????????????,22.56042765,114.017195
25,??????÷??????,22.56081844,114.0243914
26,??????????,22.56129244,114.0326924
27,???????????,22.56226137,114.0332237
28,????????г?,22.56562037,114.0309307
29,÷?????,22.56934437,114.0324207
30,÷?????,22.56713943,114.0400393
31,÷??????,22.57059009,114.0477411
32,÷???,22.57073209,114.0490351
33,?п????,22.57152209,114.0514261
34,??????,22.71640114,114.2377327
35,???????????У,22.52878133,114.0641981
36,????У,22.57276362,114.0611996
37,????????,22.59722914,114.0434372
38,???ι??,22.60368935,114.0412336
39,????,22.60920198,114.045575
40,???????,22.61421508,114.043912
41,??·??,22.61855258,114.0366104
42,????,22.62226296,114.0360049
43,????,22.62246567,114.037
44,???,22.62950096,114.0339829
45,????,22.63610563,114.0308697
46,?????,22.64073263,114.0329217
47,?????г?,22.64255759,114.0351727
48,???????,22.64074268,114.0401832
49,??????,22.63921368,114.0429562
50,????????,22.63901531,114.050336
51,?????,22.63378157,114.05944
52,?????г?,22.6376945,114.0581015
53,???????,22.6415215,114.0596735
54,?к?????,22.64345312,114.0628996
55,????,22.6467025,114.06914
56,??????????,22.65351897,114.0602038
57,???????,22.6570964,114.06103
58,????????,22.65993397,114.0558728
59,????г???,22.66311259,114.0564341
60,????г?,22.66306559,114.0580811
61,??????,22.66132697,114.0609898
62,??????????,22.66099764,114.0658022
63,??????,22.65335864,114.0702012
64,???????????,22.65478844,114.08073
